Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Lesson,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.8801631,1.7751867,0.0,0.021451123,0.07068391,0.00029769604,1249.0,1.000000183071409,1.000000183071409,1.0
15000,0.89118433,1.7228734,0.0,0.011872148,0.07087781,0.0002963856,None,1.0000000298023224,1.0000000298023224,1.0
20000,0.71504533,1.7006439,0.0,0.0039244634,0.07510829,0.00029500318,1249.0,-0.8571426400116512,-0.8571426400116512,1.0
25000,0.55106956,1.686266,0.0,0.0036591382,0.07211658,0.00029323203,None,-0.9999997615814209,-0.9999997615814209,1.0
30000,0.43714952,1.7072871,0.0,0.0016305115,0.07516691,0.00029184963,1249.0,-0.7142855184418815,-0.7142855184418815,1.0
35000,0.3150574,1.7379287,0.0,0.0025835517,0.074208885,0.00029053923,None,-0.9999997615814209,-0.9999997615814209,1.0
40000,0.23944393,1.752337,0.0,0.0059377057,0.070448115,0.00028869603,1249.0,1.4901161193847656e-07,1.4901161193847656e-07,1.0
45000,0.21229792,1.7407988,0.0,0.012888948,0.08199896,0.00028738563,None,-0.9999997615814209,-0.9999997615814209,1.0
50000,0.15316615,1.7364795,0.0,0.011327364,0.06303716,0.00028600323,1249.0,0.857142984867096,0.857142984867096,1.0
55000,0.19506256,1.7384933,0.0,0.016297176,0.07657422,0.00028423202,None,4.999999433755875,4.999999433755875,1.0
60000,0.21825126,1.7196256,0.0,0.017602876,0.069187865,0.00028253868,1223.875,2.7701251320540905,2.7701251320540905,1.0
65000,0.2075824,1.7156966,0.0,0.01919408,0.06984301,0.0002810812,None,None,None,1.0
70000,0.3073447,1.7127717,0.0,0.019635305,0.08071538,0.00027954963,1249.0,4.000024895183742,4.000024895183742,1.0
75000,0.46776223,1.6804429,0.0,0.01991074,0.0639554,0.00027808113,None,None,None,1.0
80000,0.5431253,1.6432348,0.0,0.014982792,0.06630999,0.00027655502,1220.0,5.27329982444644,5.27329982444644,1.0
85000,0.5104517,1.5989603,0.0,0.025552135,0.07657029,0.00027511228,None,None,None,1.0
90000,0.46057355,1.5890064,0.0,0.018841948,0.062390443,0.00027384196,1163.125,5.943874802440405,5.943874802440405,1.0
95000,0.4798783,1.5404875,0.0,0.028722014,0.06804657,0.00027247198,802.6666666666666,7.357399602731069,7.357399602731069,1.0
100000,0.61064357,1.5607193,1.0,0.031478044,0.07290482,0.00027084755,809.4,7.35191987156868,7.35191987156868,1.0
105000,0.63564944,1.5562083,1.0,0.025277428,0.079216525,0.0002689353,819.0,7.344299703836441,7.344299703836441,1.0
110000,0.56618214,1.504212,1.0,0.02677019,0.075753555,0.0002676326,1104.0,6.401799840586526,6.401799840586526,1.0
115000,0.6737593,1.4530339,1.0,0.034006275,0.06286309,0.00026635383,717.3333333333334,7.4257664034763975,7.4257664034763975,1.0
120000,0.6887964,1.3726121,1.0,0.04007105,0.06624794,0.0002647664,823.4,7.14083970785141,7.14083970785141,1.0
125000,0.80448234,1.3769325,1.0,0.04026507,0.07380772,0.0002632109,799.0,6.788942703178951,6.788942703178951,1.0
130000,0.9243109,1.3562704,1.0,0.05154322,0.06381174,0.0002616413,659.1,7.146177550156911,7.146177550156911,1.0
135000,0.96380454,1.3600719,1.0,0.0421403,0.06711195,0.0002600457,555.7142857142857,7.539856949022838,7.539856949022838,1.0
140000,1.0322608,1.3062403,1.0,0.048181146,0.07784541,0.00025880057,710.125,7.440555317534341,7.440555317534341,1.0
145000,0.99933213,1.3344197,1.0,0.039620638,0.08195508,0.00025721753,340.6,7.726999938488007,7.726999938488007,1.0
150000,0.8827135,1.3281963,1.0,0.047011778,0.064881586,0.00025564502,1082.8333333333333,6.133266638964415,6.133266638964415,1.0
155000,0.7389635,1.2845494,1.0,0.037429325,0.07621531,0.0002543634,982.3333333333334,6.880399772276481,6.880399772276481,1.0
160000,0.85542274,1.2104965,1.0,0.042836804,0.07099015,0.00025275556,694.3,6.743999628722667,6.743999628722667,1.0
165000,1.016411,1.1967125,2.0,0.059997186,0.069757074,0.0002510015,390.3333333333333,7.6871997863054276,7.6871997863054276,1.0
170000,1.1405504,1.1786137,2.0,0.058110103,0.07384637,0.0002497307,481.6666666666667,7.61403301358223,7.61403301358223,1.0
175000,1.2876773,1.1666986,2.0,0.058086157,0.0656837,0.00024816152,371.5,7.6929816847497765,7.6929816847497765,1.0
